material,description,plant,expiration,stock
200140074830,6.6OZ GF CARS 3 UNP,4013,11/20/17,384
200140074830,6.6OZ GF CARS 3 UNP,4013,11/20/17,305
200140074830,6.6OZ GF CARS 3 UNP,4013,11/22/17,432
200140074830,6.6OZ GF CARS 3 UNP,4013,11/23/17,1460
200140074830,6.6OZ GF CARS 3 UNP,4013,12/1/17,3094
200140074830,6.6OZ GF CARS 3 UNP,4013,12/12/17,1648
200140004830,6.6OZ GF CARS 3,4014,12/3/17,2113
200140004830,6.6OZ GF CARS 3,4014,12/10/17,2804
200140004830,6.6OZ GF CARS 3,4014,12/17/17,1101
200140004830,6.6OZ GF CARS 3,4014,12/24/17,1772
200140004830,6.6OZ GF CARS 3,4015,10/6/17,96
200140004830,6.6OZ GF CARS 3,4015,11/8/17,96
200140004830,6.6OZ GF CARS 3,4015,11/14/17,467
200140004830,6.6OZ GF CARS 3,4015,11/25/17,1304
200140004830,6.6OZ GF CARS 3,4015,11/26/17,2072
200140004830,6.6OZ GF CARS 3,4015,11/27/17,738
200140004830,6.6OZ GF CARS 3,4015,12/7/17,172
200140004830,6.6OZ GF CARS 3,4015,12/8/17,248
200140004830,6.6OZ GF CARS 3,4015,12/12/17,240
200140004830,6.6OZ GF CARS 3,4034,9/18/17,22
200140004830,6.6OZ GF CARS 3,4034,9/28/17,1058
200140004830,6.6OZ GF CARS 3,4034,11/14/17,698
200140004830,6.6OZ GF CARS 3,4034,11/26/17,924
200140004830,6.6OZ GF CARS 3,4034,12/7/17,144
200140004830,6.6OZ GF CARS 3,4034,12/8/17,480